order_id,order_timestamp,order_item_id,product_id,user_id,order_date
17502,2022-02-16 0:18:09,171007,5788,1985990,2022-02-16
44783,2022-01-14 12:40:50,169411,3451,9926170,2022-01-14
33246,2022-03-05 10:05:18,112367,5963,9506613,2022-03-05
26799,2022-02-15 3:07:56,185953,2739,3758437,2022-02-15
39175,2022-02-01 21:21:52,156526,7564,3866730,2022-02-01
15179,2022-03-31 19:27:49,132442,7439,4901294,2022-03-31
15350,2022-03-16 13:57:18,120442,7115,8710040,2022-03-16
24571,2022-03-27 1:50:10,148334,3154,5492304,2022-03-27
41956,2022-01-18 22:44:49,155240,4898,9277505,2022-01-18
20108,2022-03-30 14:31:00,159643,7255,2574327,2022-03-30
23564,2022-02-19 7:21:59,175539,1317,8665972,2022-02-19
42068,2022-01-17 16:43:12,114588,7305,4852254,2022-01-17
14491,2022-03-08 16:17:17,182114,4591,5255523,2022-03-08
42097,2022-03-29 22:05:56,164051,3835,5650859,2022-03-29
34502,2022-01-27 5:42:11,124732,4051,4854496,2022-01-27
42767,2022-01-22 15:18:57,176848,8343,2526630,2022-01-22
12422,2022-03-05 19:09:40,193542,7057,8474086,2022-03-05
23141,2022-03-04 12:03:14,162533,5036,2513159,2022-03-04
20146,2022-02-05 4:25:42,185842,7452,8615209,2022-02-05
40657,2022-02-14 16:32:50,186138,5263,8468302,2022-02-14
26288,2022-02-09 14:03:47,136612,6758,4901614,2022-02-09
31446,2022-03-08 8:30:41,167786,4020,4127698,2022-03-08
28333,2022-02-22 21:20:35,190113,1853,3477981,2022-02-22
20551,2022-03-17 20:11:53,111291,2947,6265032,2022-03-17
11772,2022-02-01 5:35:42,174922,8354,4827618,2022-02-01
33813,2022-01-25 12:52:30,199243,1202,2260676,2022-01-25
23283,2022-02-06 8:17:43,160330,3626,5629495,2022-02-06
28547,2022-03-18 19:57:37,165459,1531,6435369,2022-03-18
31054,2022-01-02 3:26:05,166132,5434,3375868,2022-01-02
41744,2022-03-19 5:53:51,177266,6854,8739960,2022-03-19
39031,2022-01-24 15:29:19,196032,742,2951101,2022-01-24
33675,2022-02-12 7:44:01,156845,4451,2685158,2022-02-12
30187,2022-01-07 16:30:15,153583,5481,8350545,2022-01-07
43541,2022-03-12 2:22:34,167203,2836,2026507,2022-03-12
34055,2022-02-14 22:35:45,118591,8519,4066662,2022-02-14
45077,2022-01-19 22:43:32,195388,2113,4897738,2022-01-19
41506,2022-03-26 12:52:30,156643,3938,6716902,2022-03-26
43203,2022-02-28 23:48:20,120821,2829,9705255,2022-02-28
40143,2022-03-26 3:09:14,119765,2365,3878691,2022-03-26
27562,2022-03-04 6:39:12,177646,3215,5593091,2022-03-04
44385,2022-03-17 12:38:14,174137,4267,8003239,2022-03-17
31526,2022-02-02 6:39:12,116506,3438,2930890,2022-02-02
35064,2022-02-26 8:04:45,171510,8424,2901184,2022-02-26
30327,2022-02-10 8:12:32,123690,3285,5678673,2022-02-10
26288,2022-02-09 14:03:47,128735,5986,4901614,2022-02-09
37686,2022-03-19 21:01:08,152870,4743,6927841,2022-03-19
37570,2022-01-26 23:00:23,125534,2193,3478654,2022-01-26
37101,2022-02-13 9:00:29,145083,2549,7649710,2022-02-13
19464,2022-02-27 14:06:22,141926,2803,4564082,2022-02-27
22607,2022-01-03 18:06:09,115780,4717,9223324,2022-01-03
35600,2022-03-26 11:21:46,158273,978,1856353,2022-03-26
19262,2022-01-18 10:26:02,168655,6841,8136550,2022-01-18
24306,2022-03-04 21:59:28,155014,4543,9145586,2022-03-04
29676,2022-02-14 18:29:29,197434,2876,3877591,2022-02-14
19311,2022-03-16 4:52:56,152915,4781,9703508,2022-03-16
43015,2022-01-26 3:59:47,188537,2491,3219874,2022-01-26
12204,2022-01-31 18:34:40,133669,4509,5866475,2022-01-31
27829,2022-03-13 12:17:30,144996,5950,8287987,2022-03-13
18966,2022-01-29 5:52:33,128789,1787,8030862,2022-01-29
43623,2022-01-21 15:07:17,174094,1515,6349740,2022-01-21
39401,2022-03-09 22:05:56,117862,4968,3989017,2022-03-09
25973,2022-02-23 16:21:10,182897,7774,6628861,2022-02-23
35688,2022-02-26 19:31:42,148521,1169,4672186,2022-02-26
37252,2022-01-05 7:41:25,127206,1288,2438795,2022-01-05
21247,2022-02-09 14:55:38,172527,3022,3677190,2022-02-09
38338,2022-02-24 17:11:43,114527,5890,8602403,2022-02-24
20980,2022-01-06 19:45:58,175050,1444,5185091,2022-01-06
26271,2022-03-13 0:11:40,135750,7480,3356690,2022-03-13
38660,2022-03-08 14:07:40,148421,4262,6475302,2022-03-08
27068,2022-02-18 22:43:32,151617,1344,5552453,2022-02-18
39029,2022-03-11 9:05:40,156924,4848,7263693,2022-03-11
32825,2022-01-10 2:23:52,167692,3706,6806728,2022-01-10
39562,2022-02-22 18:45:02,151155,4324,8021093,2022-02-22
31763,2022-03-18 6:21:04,113451,3720,6232813,2022-03-18
39448,2022-01-12 7:58:16,149232,7957,2766202,2022-01-12
11784,2022-03-09 4:36:05,188812,5662,2118197,2022-03-09
36741,2022-02-10 10:48:04,142402,3417,5730213,2022-02-10
44018,2022-01-22 15:44:53,169919,4726,3431645,2022-01-22
34238,2022-03-14 7:44:01,131526,8168,9503772,2022-03-14
44301,2022-02-14 23:40:33,142400,3967,6381680,2022-02-14
12325,2022-03-23 9:03:05,111413,6994,8020236,2022-03-23
32935,2022-03-28 15:12:29,134729,741,4045242,2022-03-28
29573,2022-01-22 13:09:21,196511,8327,7177982,2022-01-22
14456,2022-03-28 17:48:01,155071,6506,7521181,2022-03-28
12253,2022-03-15 16:08:13,162658,5521,2818465,2022-03-15
31381,2022-03-29 22:05:56,127577,5988,3583687,2022-03-29
32504,2022-01-27 5:42:11,174558,7646,4701596,2022-01-27
42720,2022-02-20 14:41:22,126404,5663,7177982,2022-02-20
35975,2022-01-23 21:20:35,132003,1684,7135055,2022-01-23
39548,2022-02-16 18:26:54,154609,6471,8144316,2022-02-16
31178,2022-03-09 4:36:05,198281,6484,6033425,2022-03-09
27449,2022-03-14 9:27:42,128580,1636,2016145,2022-03-14
36301,2022-03-02 4:45:09,196561,3648,7063126,2022-03-02
11371,2022-03-09 22:05:56,130490,5872,8767197,2022-03-09
13657,2022-02-17 1:08:42,178744,5174,9333516,2022-02-17
31895,2022-03-04 13:59:54,153503,8368,5716633,2022-03-04
36920,2022-02-21 22:52:36,190396,1665,6338051,2022-02-21
33841,2022-03-06 10:55:50,179131,7082,3745086,2022-03-06
23313,2022-02-23 22:11:08,178303,1420,2137047,2022-02-23
17819,2022-02-17 1:08:42,114319,1995,3482974,2022-02-17
28964,2022-01-19 20:08:00,115614,1136,3211914,2022-01-19
24966,2022-01-05 22:22:47,164582,8062,8910548,2022-01-05
40788,2022-03-19 1:47:35,128118,7941,6381182,2022-03-19
24700,2022-01-26 21:42:37,125952,1139,2601877,2022-01-26
40430,2022-01-21 15:46:10,153135,5841,8222890,2022-01-21
44558,2022-03-31 0:53:08,124879,2146,9613854,2022-03-31
15848,2022-01-25 2:04:26,112768,791,4283986,2022-01-25
11328,2022-02-27 6:58:39,186515,5575,3010728,2022-02-27
24837,2022-01-07 8:17:43,139502,1626,3633647,2022-01-07
24145,2022-02-19 8:00:52,191017,4591,4391832,2022-02-19
14061,2022-02-24 15:02:06,176917,3053,8133537,2022-02-24
45247,2022-03-11 8:26:47,196810,6901,6325804,2022-03-11
16497,2022-03-31 7:34:56,127179,1796,3420420,2022-03-31
17761,2022-01-06 12:12:19,117835,6113,3807494,2022-01-06
15814,2022-03-27 4:51:38,115430,3414,6217522,2022-03-27
42235,2022-03-09 16:54:52,126589,8011,8350222,2022-03-09
32908,2022-03-21 14:03:47,120816,899,3398783,2022-03-21
37523,2022-01-20 6:43:06,138654,4548,3563548,2022-01-20
34931,2022-03-19 10:26:02,152342,6506,1956592,2022-03-19
42410,2022-01-15 22:35:45,126309,5922,3452269,2022-01-15
34370,2022-03-04 21:20:35,186417,6906,4165578,2022-03-04
15359,2022-02-03 2:44:37,112483,2488,7989021,2022-02-03
33866,2022-01-02 4:04:58,114371,4408,5121378,2022-01-02
24048,2022-03-12 1:56:39,141044,3284,7764956,2022-03-12
29906,2022-03-29 9:47:09,134629,6815,6202715,2022-03-29
34550,2022-01-24 1:13:53,129420,7061,2083065,2022-01-24
17420,2022-02-05 13:43:03,165538,7287,9598902,2022-02-05
24480,2022-01-31 23:06:52,148182,2086,1952474,2022-01-31
17060,2022-02-14 18:29:29,184161,4312,5760541,2022-02-14
21548,2022-03-13 0:11:40,128650,2629,2544122,2022-03-13
44703,2022-01-30 19:01:53,115093,3961,3300057,2022-01-30
43116,2022-02-10 4:06:16,174344,4149,8341411,2022-02-10
16155,2022-01-24 9:26:25,155665,4524,9191238,2022-01-24
14708,2022-02-02 7:44:01,132206,7096,8345195,2022-02-02
35483,2022-03-13 21:08:55,120226,6979,3546341,2022-03-13
36260,2022-01-24 18:30:47,124175,7043,7221959,2022-01-24
29194,2022-01-07 14:33:35,188652,1873,3171053,2022-01-07
28286,2022-02-23 23:54:49,143995,7189,5552414,2022-02-23
44490,2022-03-03 17:02:39,180509,2549,3677190,2022-03-03
12008,2022-01-22 19:25:13,177495,5992,9143312,2022-01-22
30161,2022-02-07 3:44:14,117515,4077,2515136,2022-02-07
36840,2022-03-18 16:04:19,164829,8095,8758692,2022-03-18
19383,2022-01-17 14:07:40,119003,4659,9740713,2022-01-17
40318,2022-01-03 23:30:11,184752,4532,7590522,2022-01-03
31187,2022-02-25 18:15:14,175135,3967,6814094,2022-02-25
28264,2022-01-09 20:33:55,192101,3878,2890094,2022-01-09
32641,2022-01-07 17:09:08,179755,3230,8131632,2022-01-07
