event_timestamp,user_id,screen,event_type,test_group
2022-03-01 3:16:58,12349,plp,impression,B
2022-03-02 4:50:42,12349,plp,impression,B
2022-03-02 14:02:31,12349,plp,impression,B
2022-03-02 19:29:54,12349,plp,impression,B
2022-03-02 21:47:54,12349,plp,impression,B
2022-03-03 0:44:50,12349,plp,click,B
2022-03-03 11:20:12,12349,plp,impression,B
2022-03-03 13:20:41,12349,plp,impression,B
2022-03-04 4:40:30,12349,plp,impression,B
2022-03-04 8:36:29,12349,plp,impression,B
2022-03-06 10:16:23,12349,plp,impression,B
2022-03-06 10:22:46,12349,plp,impression,B
2022-03-06 12:11:47,12349,plp,impression,B
2022-03-06 15:20:00,12349,plp,click,B
2022-03-07 18:31:50,12349,plp,impression,B
2022-03-08 2:14:54,12349,plp,impression,B
2022-03-08 3:47:44,12349,plp,impression,B
2022-03-08 12:01:36,12349,plp,impression,B
2022-03-08 13:50:42,12349,plp,impression,B
2022-03-08 16:50:36,12349,plp,impression,B
2022-03-08 18:51:52,12349,plp,impression,B
2022-03-08 19:26:57,12349,plp,impression,B
2022-03-08 22:50:45,12349,plp,impression,B
2022-03-09 2:56:42,12349,plp,impression,B
2022-03-09 6:29:11,12349,plp,impression,B
2022-03-09 16:44:41,12349,plp,impression,B
2022-03-10 0:15:24,12349,plp,click,B
2022-03-10 5:36:20,12349,plp,impression,B
2022-03-11 0:25:20,12349,plp,impression,B
2022-03-11 0:51:41,12349,plp,impression,B
2022-03-11 0:52:33,12349,plp,impression,B
2022-03-11 10:15:41,12349,plp,impression,B
2022-03-11 14:39:16,12349,plp,impression,B
2022-03-12 1:07:49,12349,plp,impression,B
2022-03-12 1:32:35,12349,plp,impression,B
2022-03-12 3:57:22,12349,plp,impression,B
2022-03-12 8:26:18,12349,plp,impression,B
2022-03-12 12:03:00,12349,plp,impression,B
2022-03-13 4:30:25,12349,plp,impression,B
2022-03-13 6:07:37,12349,plp,impression,B
2022-03-13 20:07:13,12349,plp,impression,B
2022-03-13 23:28:25,12349,plp,impression,B
2022-03-14 5:12:44,12349,plp,impression,B
2022-03-14 6:28:32,12349,plp,click,B
2022-03-14 14:26:43,12349,plp,impression,B
2022-03-14 14:27:35,12349,plp,impression,B
2022-03-01 0:09:22,12361,plp,impression,B
2022-03-01 14:07:57,12361,plp,impression,B
2022-03-01 15:47:34,12361,plp,impression,B
2022-03-01 20:35:26,12361,plp,impression,B
2022-03-03 3:26:50,12361,plp,impression,B
2022-03-03 4:29:33,12361,plp,impression,B
2022-03-03 12:58:08,12361,plp,impression,B
2022-03-03 18:16:27,12361,plp,impression,B
2022-03-04 9:42:26,12361,plp,impression,B
2022-03-04 12:30:26,12361,plp,impression,B
2022-03-04 13:31:26,12361,plp,impression,B
2022-03-04 16:14:52,12361,plp,impression,B
2022-03-04 19:01:05,12361,plp,impression,B
2022-03-04 21:23:48,12361,plp,impression,B
2022-03-04 23:40:20,12361,plp,impression,B
2022-03-05 11:57:56,12361,plp,impression,B
2022-03-05 12:04:31,12361,plp,impression,B
2022-03-06 1:23:07,12361,plp,impression,B
2022-03-06 23:10:31,12361,plp,impression,B
2022-03-07 1:09:32,12361,plp,impression,B
2022-03-07 12:59:10,12361,plp,impression,B
2022-03-07 22:42:47,12361,plp,impression,B
2022-03-08 0:53:28,12361,plp,impression,B
2022-03-08 1:47:10,12361,plp,impression,B
2022-03-08 3:35:23,12361,plp,impression,B
2022-03-08 11:12:51,12361,plp,impression,B
2022-03-08 23:36:17,12361,plp,impression,B
2022-03-09 2:23:42,12361,plp,impression,B
2022-03-09 11:44:36,12361,plp,impression,B
2022-03-09 18:06:24,12361,plp,impression,B
2022-03-09 21:53:20,12361,plp,impression,B
2022-03-09 22:46:53,12361,plp,impression,B
2022-03-10 10:07:05,12361,plp,impression,B
2022-03-10 13:51:54,12361,plp,impression,B
2022-03-10 19:49:33,12361,plp,impression,B
2022-03-11 6:45:25,12361,plp,impression,B
2022-03-11 12:01:19,12361,plp,impression,B
2022-03-11 13:06:42,12361,plp,impression,B
2022-03-12 6:09:08,12361,plp,impression,B
2022-03-12 8:07:53,12361,plp,impression,B
2022-03-12 11:04:21,12361,plp,impression,B
2022-03-12 18:04:07,12361,plp,impression,B
2022-03-12 21:22:01,12361,plp,impression,B
2022-03-12 21:50:05,12361,plp,impression,B
2022-03-12 21:59:09,12361,plp,impression,B
2022-03-13 9:05:11,12361,plp,impression,B
2022-03-13 11:08:51,12361,plp,impression,B
2022-03-13 13:59:01,12361,plp,impression,B
2022-03-13 16:05:00,12361,plp,impression,B
2022-03-13 16:12:09,12361,plp,impression,B
2022-03-13 16:50:27,12361,plp,impression,B
2022-03-14 8:50:39,12361,plp,impression,B
2022-03-14 10:17:28,12361,plp,impression,B
2022-03-14 15:54:57,12361,plp,impression,B
2022-03-14 16:09:27,12361,plp,impression,B
